gage_id,vpuid
01030500,01
01031500,01
01069700,01
01073500,01
01078000,01
01108000,01
01115187,01
01115630,01
01118000,01
01144000,01
01152500,01
01162500,01
01193500,01
01332500,02
01350140,02
01363382,02
01367500,02
01374559,02
01387500,02
01390450,02
01421618,02
01423000,02
01447720,02
01467042,02
01473000,02
01491000,02
01492500,02
01493500,02
01505000,02
01548500,02
01552000,02
01552500,02
01566000,02
01567500,02
01571184,02
01581810,02
01583500,02
01594526,02
01595000,02
01606000,02
01611500,02
01613525,02
01613900,02
01616500,02
01620500,02
01636690,02
01639500,02
01643000,02
01662800,02
01664000,02
02014000,02
02017500,02
02024915,02
02055100,03N
02059500,03N
02065500,03N
02070500,03N
02081500,03N
02084160,03N
02108000,03N
02118500,03N
0212467595,03N
02140991,03N
02143040,03N
02160381,03N
02177000,03N
02193340,03N
02198100,03N
02202600,03N
02215100,03S
02266200,03S
02298123,03S
02314500,03S
02324400,03S
02331000,03W
02343225,03W
02349605,03W
02362240,03W
02371500,03W
02378170,03W
02384500,03W
02415000,03W
02421000,03W
02427250,03W
02430880,03W
02448900,03W
02453000,03W
02467500,03W
02470072,03W
02472000,03W
03021350,05
03032500,05
03045000,05
03050000,05
03069500,05
03072000,05
03075905,05
03114500,05
03164000,05
03165000,05
03173000,05
03175500,05
03201405,05
03212750,05
03213500,05
03230500,05
03237280,05
03251200,05
03271300,05
03291500,05
03292474,05
03300400,05
03314000,05
03340800,05
03346000,05
03351072,05
03368000,05
03373508,05
03379500,05
03384450,05
03432350,05
03439000,06
0344894205,06
03527220,06
04043244,04
04086500,04
04118500,04
04127997,04
04136000,04
04159492,04
04163400,04
04189000,04
04199155,04
04208000,04
04213500,04
04216418,04
04229500,04
0423205010,04
04234000,04
04242500,04
04265432,04
04273700,02
04282500,02
05061000,09
05127500,09
05129115,09
05275000,07
05336700,07
05383950,07
05387440,07
05411850,07
05413500,07
05426000,07
05426067,07
05447500,07
05454000,07
05514500,07
05567500,07
05570000,07
05587000,07
06025500,10U
06036905,10U
06073500,10U
06186500,10U
06195600,10U
06224000,10U
06289000,10U
06331000,10U
06350000,10U
06430770,10U
06440200,10U
06605850,10L
06710150,10L
06784000,10L
06803510,10L
06809210,10L
06815000,10L
06884200,10L
06907700,10L
06910750,10L
06917000,10L
06928000,10L
07030500,08
07048550,11
07050690,11
07054080,11
07057500,11
07105490,11
07126300,11
07144780,11
07145700,11
07148400,11
07151500,11
07164600,11
07185910,11
07195800,11
07208500,11
07250974,11
07252000,11
07257500,11
07261000,11
072632962,11
072632982,11
07288280,08
07291000,08
07325860,11
07329780,11
07348700,11
07359610,08
07360200,08
07362587,08
07366200,08
07372200,08
07377000,08
08010000,08
08013000,08
08050840,12
08064100,12
0810464660,12
08128400,12
08152900,12
08158810,12
08164000,12
08166000,12
08210400,12
08271000,13
08315480,13
08447020,13
09329050,14
09404110,15
09404343,15
09405500,15
09424447,15
09430600,15
09444200,15
09470750,15
09484580,15
09487000,15
09499000,15
09510200,15
09537200,15
10172870,16
10259000,18
10308200,16
10316500,16
103366092,16
10336645,16
11098000,18
11120500,18
11124500,18
11147500,18
11152000,18
11203580,18
11224500,18
11274500,18
11284400,18
11467000,18
11475800,18
11478500,18
11528700,18
11532500,18
12039005,17
12039500,17
12040500,17
12115500,17
12117000,17
12134500,17
12137290,17
12205000,17
12210000,17
12210900,17
12358500,17
12377150,17
12395000,17
12411000,17
12413125,17
12413130,17
12447383,17
12488500,17
13037500,17
13186000,17
13233300,17
13247500,17
13266000,17
13309220,17
13313000,17
13331500,17
13336500,17
14138800,17
14138870,17
14185900,17
14211400,17
14211500,17
14216500,17
14242580,17
14301000,17
14301500,17
14316455,17
14316700,17
14362250,17
